id,form,type,translation_lexeme,analysis,translation,mw_lexeme
56.1,vanAH,word,forests,MW.vanA.185717 Voc.M.P,O one who is the forests[RV; SR: vanya],"वना f. a forest, wood, grove, thicket RV"
57.1,raRa,word,Roarer,DHATU.raR. KRT.ac Voc.M.S,O Roarer[√रण् अच्],
58.1,BaRa,word,Roarer,DHATU.BaR. KRT.ac Voc.M.S,O Roarer[√भन् अच्],
59.1,aka,word,Wanderer,DHATU.ak. KRT.ac Voc.M.S,O Wanderer[√अक् अच्],
60.1,anDaH,word,Soma huice,MW.anDa.8466 Nom.M.S,Soma juice[RV],"Soma juice, RV. VS."
61.1,rava,word,Roaring,DHATU.ru. KRT.ac Voc.M.S,O Roaring[√रु अच्] Destroyer[√जॄ अच्],
61.1,jara,word,Destroyer,MW.jara.77597 Voc.M.S,O Roaring[√रु अच्] Destroyer[√जॄ अच्],"जर mfn. , ‘becoming old’, see अ-जर, अहर्-जरम्"
64.1,dama,word,men,MW.dama.90249 Voc.M.S,"O who is Restrained[ŚBr], Kind to men[RV], Destroyer[√नश्], Roarer[Nir]","दम m.  house, home , RV."
64.1,Anava,word,to men,MW.Anava.24487 Voc.M.S,"O who is Restrained[ŚBr], Kind to men[RV], Destroyer[√नश्], Roarer[Nir]","to men, RV"
64.1,nASa,word,men,MW.nASa.106197 Voc.M.S,"O who is Restrained[ŚBr], Kind to men[RV], Destroyer[√नश्], Roarer[Nir]","2. नाश m.  the being lost, loss, disappearance, destruction, annihilation, ruin, death, Br."
64.1,nadana,word,"नदन mfn. sounding, Nir. v, 2.",MW.nadana.103323 Voc.M.S,"O who is Restrained[ŚBr], Kind to men[RV], Destroyer[√नश्], Roarer[Nir]","नदन mfn. sounding, Nir. v, 2."
65.1,ama,stem,Powerful,MW.ama.13749,O Powerful[RV] killer[RV],"1. अम m. impetuosity, violence, strength, power, RV."
65.1,han,word,killer,MW.han.260418 Voc.M.S,O Powerful[RV] killer[RV],"2. हन् mfn. killing, a killer, slayer"
66.1,damam,stem,self-control,MW.dama.90251 CMP,O one possessing[MBh] self-control[ŚBr],"दम m. self-command, self-restraint, self-control, ŚBr. xiv, 8, 2, 4 , TUp."
66.1,Dara,word,possessing,MW.Dara.99749 Voc.M.S,O one possessing[MBh] self-control[ŚBr],"ifc. holding, bearing, carrying, wearing, possessing, having, keeping , sustaining, preserving, observing , MBh."
67.1,kam,word,blessed,MW.kam.43756.1 Nom.M.S,O blessed[RV] Killer[RV],
67.1,Ahan,word,Slayer,DHATU.A-han. KRT.kvip Voc.M.S,O blessed[RV] Killer[RV],
68.1,dahana,word,firey,MW.dahana.91168 Voc.M.S,O firey[MBh] respected[MBh],"दहन mfn. burning, consuming by fire, scorching, destroying , Hariv."
68.1,mAna,word,respected,MW.mAna.162722 Voc.M.S,O firey[MBh] respected[MBh],"consideration, regard, respect, honour, Mn."
69.1,rava,word,Roaring,DHATU.ru. KRT.ac Voc.M.S,O Roaring[√रु अच्] Bearer[MārkP],
69.1,sahana,word,Mighty,MW.sahana.239999 Voc.M.S,O Roaring[√रु अच्] Mighty one[Nir],"sahana mfn. powerful, strong , Nir. viii, 15"
70.1,ama,stem,Powerful,MW.ama.13749,O Powerful[RV] honored[MBh] Presider[√आस्],"1. अम m. impetuosity, violence, strength, power, RV."
70.1,mAnya,word,honored,MW.mAnya.162827 Voc.M.S,O Powerful[RV] honored[MBh] Presider[√आस्],"to be respected or honoured, worthy of honour, respectable, venerable, Mn"
70.1,Asa,word,Presider,MW.Asa.27853 Voc.M.S,O Powerful[RV] honored[MBh] Presider[√आस्],"the lower part of the body behind, posteriors, ChUp."
71.1,rava,word,Roaring,DHATU.ru. KRT.ac Voc.M.S,O Roaring[√रु अच्] benevolent[RV] spirit[MBh],
71.1,Amana,stem,Sickness,MW.Amana.25439,O Roaring[√रु अच्] benevolent[RV] spirit[MBh],
71.1,mAnasa,word,spirit,MW.mAnasa.162924 Voc.M.S,O Roaring[√रु अच्] benevolent[RV] spirit[MBh],"to the mind or spirit, mental, spiritual , VS"
72.1,Ahanana,word,"killing , AV.",MW.Ahanana.28306 Voc.M.S,"O Killer[AV], O food[RV] ravisher[RV], O Presider[√आस्][annāda]","killing , AV."
72.1,ASa,stem,food,MW.ASa.27354,"O Killer[AV], O food[RV] ravisher[RV], O Presider[√आस्][annāda]","2. आश m. , food"
72.1,hara,word,ravisher,MW.hara.260680 Voc.M.S,"O Killer[AV], O food[RV] ravisher[RV], O Presider[√आस्][annāda]","of a monkey, R."
72.1,Asa,word,"the lower part of the body behind, posteriors, ChUp.",MW.Asa.27853 Voc.M.S,"O Killer[AV], O food[RV] ravisher[RV], O Presider[√आस्][annāda]","the lower part of the body behind, posteriors, ChUp."
73.1,anna,stem,food,MW.anna.8479,"O food[RV] bestower[RV][SR: andhasaspati], O Presider[√आस् अच्]","a/nna , n. food or victuals, especially boiled rice"
73.1,dAna,word,food,MW.dAna.91370 Voc.M.S,"O food[RV] bestower[RV][SR: andhasaspati], O Presider[√आस् अच्]",दान m.  distribution of food or of a sacrificial meal
73.1,Asa,word,"the lower part of the body behind, posteriors, ChUp.",MW.Asa.27853 Voc.M.S,"O food[RV] bestower[RV][SR: andhasaspati], O Presider[√आस् अच्]","the lower part of the body behind, posteriors, ChUp."
75.1,rasa,stem,Roarer,MW.rasa.175488,Roarer[VarBṛS] salutations[RV],"juice of the sugar-cane, syrup, Suśr."
75.1,namana,word,salutations,MW.namana.103839 Voc.M.S,Roarer[VarBṛS] salutations[RV],"bending , Sāh."
76.1,rava,stem,roar,MW.rava.175305,"O roarer[RV, Pañcat]","रव m.  a roar, yell, cry, howl , RV. &c. &c."
76.1,da,word,giver,MW.da.89220 Voc.M.S,"O roarer[RV, Pañcat]","द m. n. a gift, L."
77.1,mAnya,word,"to be respected or honoured, worthy of honour, respectable, venerable, Mn",MW.mAnya.162827 Voc.M.S,Honored[MBh],"to be respected or honoured, worthy of honour, respectable, venerable, Mn"
79.1,tfRe,word,plant,MW.tfRa.86539 Loc.M.S,(Rudra) in the plant[RV; SR: oṣadhīṣu],"tf/Ra n. . ) grass, herb, any gramineous plant, blade of grass, straw , RV. &c."
80.1,vama,word,emitter,MW.vama.186418 Voc.M.S,O emitter[√वम् अच्],"वम mfn. vomiting, ejecting, giving out, W."
81.1,rava,word,Roaring,DHATU.ru. KRT.ac Voc.M.S,O Roaring[√रु अच्] destroyer[AV; मथ् शतृ],
81.1,maTan,word,Destroyer,DHATU.maT. KRT.Satf Nom.M.S,O Roaring[√रु अच्] destroyer[AV; मथ् शतृ],
85.1,jaya,word,many,MW.jaya.77323 Voc.M.S,O Jaya (N. of author of RV 10.180 and many kings),"जय m.  conquest, victory, triumph, winning, being victorious , AV. vii, 50, 8"
87.1,rava,word,roaring,DHATU.ru. KRT.ac Voc.M.S,O roaring[√रु अच्] destroyer[MBh],
87.1,Samana,word,roaring,MW.Samana.212955 Voc.M.S,O roaring[√रु अच्] destroyer[MBh],"शमन mfn. calming, tranquillizing, soothing, allaying, extinguishing, destroying, KātyŚr."
88.1,A,stem,fully,MW.A.22011,O all powerful one[MBh][SR: sarveśvara],"2. A ind. a particle of reminiscence, Pāṇ. i, 1, 14"
88.1,Sakya,word,powerful,MW.Sakya.211037 Voc.M.S,O all powerful one[MBh][SR: sarveśvara],"Sakya mfn. able, possible, practicable, capable of being , MBh."
89.1,cazaRavAn,word,Therefore,DHATU.caza~.1 KRT.lyuw TAD.matup Nom.M.S,"Therefore[RV], the eater[√चष ल्युट् मतुप्][annāda]",
89.1,tadA,word,At that time,INDC.tadA.82170,"Therefore[RV], the eater[√चष ल्युट् मतुप्][annāda]",
91.1,sad,stem,good,MW.sad.230505.1,O bearer[RV] of the good[RV],
91.1,vahana,word,the,MW.vahana.189284 Voc.M.S,O bearer[RV] of the good[RV],"vahana mfn. bearing, carrying, conveying"
92.1,rava,word,Roaring,DHATU.ru. KRT.ac Voc.M.S,O Roaring[√रु अच्] Destroyer[Pañcat],
92.1,SAmana,word,Destroyer,MW.SAmana.215562 Voc.M.S,O Roaring[√रु अच्] Destroyer[Pañcat],"शामन mfn. extinguishing, destroying, Pañcat. iii, 31"
93.1,analavat,stem,fire,MW.anala.5252 TAD.matup,granted[RV] in the presence of fire[AgP:अनल मतुप्],"1. अनल m. , fire"
93.1,dattam,word,of,MW.datta.89792 Acc.M.S,granted[RV] in the presence of fire[AgP:अनल मतुप्],"honoured, L."
94.1,Ava,word,power,DHATU.av. TIN.low.1.S,My I gain power[√अव् लोट् 1s] there[RV] O honored one[आ-√मान् अच्],
94.1,AmAna,word,one,DHATU.A-mAn. KRT.ac Voc.M.S,My I gain power[√अव् लोट् 1s] there[RV] O honored one[आ-√मान् अच्],
94.1,tatra,word,Used for the loc. of,INDC.tatra.81977,My I gain power[√अव् लोट् 1s] there[RV] O honored one[आ-√मान् अच्],
96.1,madana,stem,ma,MW.madana.155460,O Destroyer[मष् शतृॅं] of Kāma[MBh],"मदन m. . ) passion, love or the god of love, MBh."
96.1,mazan,word,destroyer,DHATU.maz. KRT.Satf Voc.M.S,O Destroyer[मष् शतृॅं] of Kāma[MBh],
97.1,maYja,stem,roarer,DHATU.maYja~. KRT.ac Voc.M.S,O Roarer[√मञ्ज्] to be appeased[MW],
97.1,Samya,word,to be,MW.Samya.213035 Voc.M.S,O Roarer[√मञ्ज्] to be appeased[MW],to be appeased or kept quiet &c
98.1,ravasam,word,Roarer,MW.ravasa.175333 Acc.M.S,Honor[√मन् लोट्] the Roarer[RV],Roaring
98.1,mana,word,Honor,DHATU.man. TIN.low.2.S Voc.M.S,Honor[√मन् लोट्] the Roarer[RV],"N. of a son of Śambara, Hariv. ."
99.1,dame,word,house,MW.dama.90254 Loc.M.S,Tanva(author RV 10.93) is wisdom[RV] in the house[RV],"N. of a brother of Damayantī, Nal. i, 9"
99.1,manmanaH,word,wisdom,MW.manman Gen.N.S,Tanva(author RV 10.93) is wisdom[RV] of the house[RV],
99.1,tanvaH,word,N. of the author of a Sāman,MW.tanva.82603 Nom.M.S,Tanva(author RV 10.93) is wisdom[RV] in the house[RV],तन्व m. N. of the author of a Sāman
100.1,damana,word,"दमन mfn. ifc. taming, subduing, overpowering, MBh. viii",MW.damana.90271 Voc.M.S,"O subduer[MBh], O unthwartable[RV 8.92.8 Indra]","दमन mfn. ifc. taming, subduing, overpowering, MBh. viii"
100.1,avarya,word,unthwartable,DHATU.vara KRT.yat NEG Voc.M.S,"O subduer[MBh], O unthwartable[RV 8.92.8 Indra]",
101.1,carma,word,shield,MW.carman.72544 Acc.N.S,shield[MBh] like[RV],"a shield, MBh."
101.1,samam,word,like,MW.sama.232990 Acc.N.S,shield[MBh] like[RV],"to or identical or homogeneous with , like in or with regard to anything , ib"
103.1,adIna,word,śiva,MW.adIna.3704 Voc.M.S,O śiva[MBh; 1000 names of Siva],"a/-dIna mfn. not depressed, noble-minded"
104.1,damana,stem,subduing,MW.damana.90271,O subduing[MBh] victor[AV],"दमन mfn. ifc. taming, subduing, overpowering, MBh. viii"
104.1,jaya,word,victor,MW.jaya.77323 Voc.M.S,O subduing[MBh] victor[AV],"जय m.  conquest, victory, triumph, winning, being victorious , AV. vii, 50, 8"
107.1,Ara,stem,rya,MW.Ara.26014,O wandering[√ऋ घञ्] ārya,"आर m. cavity, Sūryas.?"
107.1,Arya,word,rya,MW.Arya.26533 Voc.M.S,O wandering[√ऋ घञ्] ārya,"आर्य m. , a respectable or honourable or faithful man, an inhabitant of Āryāvarta"
108.1,maya,word,as,MW.maya.157985 Voc.M.S,O horse (as Rudra)[VS]/O Injurer[√मी + अच्],"1. मय m.  N. of an Asura , MBh."
109.1,raraRa,word,water,DHATU.raR TIN.liw.1.S,The ruler of water[VS] roars[√रण् लिट् used as present tense; Sri Rudram 7],
109.1,sara,stem,water,MW.sara.237445,The ruler of water[VS] roars[√रण् लिट् used as present tense; Sri Rudram 7],"a waterfall, L."
109.1,pa,word,The,MW.pa.113043 Voc.M.S,The ruler of water[VS] roars[√रण् लिट् used as present tense; Sri Rudram 7],"प m. f. the act of drinking, L."
110.1,vajat,stem,mighty,DHATU.vaj. KRT.Satf,"O mighty[√वज् शतृ] Punisher[√तड् अच्], O Immovable[VP] Subduer[RV]",
110.1,taqa,word,Punisher,DHATU.taq. KRT.ac Voc.M.S,"O mighty[√वज् शतृ] Punisher[√तड् अच्], O Immovable[VP] Subduer[RV]",
110.1,acala,stem,Immovable,MW.acala.1790,"O mighty[√वज् शतृ] Punisher[√तड् अच्], O Immovable[VP] Subduer[RV]","अ-चल mfn. not moving, immovable"
110.1,radDa,stem,रद्ध रद्धृ. See below.,MW.radDa.174808,"O mighty[√वज् शतृ] Punisher[√तड् अच्], O Immovable[VP] Subduer[RV]",रद्ध रद्धृ. See below.
110.1,da,word,mighty,MW.da.89220 Voc.M.S,"O mighty[√वज् शतृ] Punisher[√तड् अच्], O Immovable[VP] Subduer[RV]","द m. n. a gift, L."
111.1,rasataH,word,Roaring,MW.rasa TAD.tasil,O Roaring one[√रस् तसिल्] who bends (bows)[√नम् शतृ]; O possessor of all things[MBh],
111.1,naman,word,things,DHATU.Rama~. KRT.Satf  Voc.M.S,O Roaring one[√रस् तसिल्] who bends (bows)[√नम् शतृ]; O possessor of all things[MBh],
111.1,sam,stem,bends,MW.sam.232986,O Roaring one[√रस् तसिल्] who bends (bows)[√नम् शतृ]; O possessor of all things[MBh],"to be disturbed , Dhātup"
111.1,DAra,word,Roaring,MW.DAra.101039 Voc.M.S,O Roaring one[√रस् तसिल्] who bends (bows)[√नम् शतृ]; O possessor of all things[MBh],"धार mfn. coming down in a stream or as rain, Suśr."
113.1,pata,stem,lowered,MW.pata,The one with broken/lowered/released arrows[SR: niśīrya-śalya/iṣavaḥ vapa/visṛjya],
113.1,SaraH,word,arrows,MW.Sara.213454 Nom.M.S,The one with broken/lowered/released arrows[SR: niśīrya-śalya/iṣavaḥ vapa/visṛjya],"an arrow, shaft, MuṇḍUp."
114.1,trEtAH,word,man,MW.trEta.88674 Nom.M.P,Traita sāman[TāṇḍyaBr],"trEta/ m.  a triplet , TS. ii, 1, 1, 6"
120.1,daDya,word,meditate,DHATU.DyayE. TIN.liw.2.P,May you all meditate[√ध्ययै लिट् 2p.],
121.1,samara,stem,confluence,MW.samara.233742,O driver[√ऋ अच्] of the confluence[RV] that should flow[RV],"सम्-अर &c. See सम्-√ ऋ, p. 1170."
121.1,raPya,stem,confluence,DHATU.raPa~.Bhvadi KRT.yat,O driver[√ऋ अच्] of the confluence[RV] that should flow[RV],
121.1,ara,word,confluence,MW.ara.15007 Voc.M.S,O driver[√ऋ अच्] of the confluence[RV] that should flow[RV],"अर m. the spoke or radius of a wheel, RV. &c.?"
123.1,rata,word,pleased,MW.rata.174224 Voc.M.S,O my pleased[BhP] Kāma[Mbh],"रत रति &c. See under √ रम्, p. 867, cols. 2, 3."
123.1,mama,word,My[MW:asmad Gen.Sg.],PRON.asmad Gen.M.S,O my pleased[BhP] Kāma[Mbh],
123.1,madana,word,K,MW.madana.155461 Voc.M.S,O my pleased[BhP] Kāma[Mbh],"a kind of embrace, L."
124.1,pra,stem,forward,MW.pra.129752.1,O loud Roarer[प्र-√रु अच्],"forward, in front, on, forth"
124.1,rava,word,Roarer,MW.rava.175305 Voc.M.S,O loud Roarer[प्र-√रु अच्],"रव m.  a roar, yell, cry, howl , RV. &c. &c."
125.1,ana,stem,breath,MW.ana.4783,O who holds destruction[RV ध्वस्र इनि] of breath/Prāṇa[ŚBr],"अन m. breath, respiration, ŚBr."
125.1,DvasrI,word,"Dvasra/ mfn. = °sira/, RV.",MW.Dvasra.102563 TAD.ini Nom.M.S,O who holds destruction[RV ध्वस्र इनि] of breath/Prāṇa[ŚBr],"Dvasra/ mfn. = °sira/, RV."
127.1,sadaya,word,merciful,MW.sadaya.230686 Voc.M.S,O merciful one[SkandaP: N. of Vishnu],"स—दय mfn. merciful, compassionate, kind, gentle , Kāv."
128.1,naya,word,leader,MW.naya.103925 Voc.M.S,O leader (of army)[R; senāpati:Sri Rudram],"a kind of game and a sort of dice or men for playing it, L."
129.1,tA,word,Roarer,MW.tan.82220 Nom.M.S,The Roarer[√तन् nms],"to resound, roar, RV?"
130.1,rava,word,Roarer,MW.rava.175305 Voc.M.S,Roarer[रु] destroyer[भस्] of hundred[RV] deaths[AitUp],"रव m.  a roar, yell, cry, howl , RV. &c. &c."
130.1,Sata,stem,hundred,MW.Sata.211813,Roarer[रु] destroyer[भस्] of hundred[RV] deaths[AitUp],"शत n. . ) a hundred , RV. &c."
130.1,maraRa,stem,of,MW.maraRa.158120,Roarer[रु] destroyer[भस्] of hundred[RV] deaths[AitUp],"मरण n. the act of dying, death, , ŚrS."
130.1,Basa,word,destroyer,DHATU.Bas KRT.ac Voc.M.S,Roarer[रु] destroyer[भस्] of hundred[RV] deaths[AitUp],
131.1,aDana,word,wealth,MW.aDana.3955 Voc.M.S,O one without wealth[Sri Rudram दरिद्र],a-Dana mfn. destitute of wealth.
132.1,rava,stem,Roaring,DHATU.ru. KRT.ac Voc.M.S,O Roaring[√रु अच्] pervader[√तन् अच्],
132.1,tana,word,pervade,MW.tana.82251 Voc.M.S,O Roaring[√रु अच्] pervader[√तन् अच्],"तन n. offspring, posterity, i, 39, 7?"
133.1,Dana,word,swift,MW.Dana.99260 Voc.M.S,O swift one[√धन् क्विप्],"any valued object,  wealth, riches,  property, money, treasure, gift, RV. &c. &c."
134.1,anDa,stem,darkness,MW.anDa.8413,O one who drives[√अज् अच्] away darkness(literally as the Sun and spiritually)[R],dark
134.1,vaya,word,"वय m.  one who weaves, a weaver, L.",MW.vaya.186461 Voc.M.S,O one who drives[√अज् अच्] away darkness(literally as the Sun and spiritually)[R],"वय m.  one who weaves, a weaver, L."
135.1,hara,stem,Seizer,MW.hara.260678,"O Seizer[MBh], O Roarer[√रु अच्]","हर m. ‘Seizer’, ‘Destroyer’, N. of Śiva, ĀśvGṛ."
135.1,rava,word,Roarer,DHATU.ru. KRT.ac Voc.M.S,"O Seizer[MBh], O Roarer[√रु अच्]",
136.1,rava,stem,roaring,DHATU.ru. KRT.ac Voc.M.S,O roaring[√रु अच्] Seizer[MBh],
136.1,hara,word,Seizer,MW.hara.260678 Voc.M.S,O roaring[√रु अच्] Seizer[MBh],"हर m. ‘Seizer’, ‘Destroyer’, N. of Śiva, ĀśvGṛ."
137.1,anan,word,breathes,DHATU.ana~. KRT.Satf Nom.M.S,One who breathes[√अन् शतृ RV 10.129.2],
138.1,maYjanam,word,one,DHATU.maYja~. KRT.lyuw Acc.M.S,The Roar[√मञ्ज् ल्युट्],
139.1,varAn,word,"va/rA , f. N. of various plants and vegetable products , Suśr.",MW.varA.186779.40 Acc.M.P,The most excellent ones[MBh],"va/rA , f. N. of various plants and vegetable products , Suśr."
144.1,raka,stem,gem,MW.raka.173044,gem[W] of chosen[MBh] gems entrance[Mcar],रक m. the sun gem
144.1,vara,stem,chosen,MW.vara.203979,gem[W] of chosen[MBh] gems entrance[Mcar],"वर &c. See p. 921, col. 1."
144.1,raka,stem,gem,MW.raka.173044,gem[W] of chosen[MBh] gems entrance[Mcar],रक m. the sun gem
144.1,araraH,word,of,MW.arara.15189 Nom.M.S,gem[W] of chosen[MBh] gems entrance[Mcar],"अरर , n. id., Mcar."
145.1,rava,word,Roarer,DHATU.ru. KRT.ac Voc.M.S,"O Roarer[√रु अच्], O fearless one[ŚBr][two names of Shiva]",
